name,version,license
"concurrently","8.2.2","MIT"
"content-disposition","0.5.4","MIT"
"content-type","1.0.5","MIT"
"convert-source-map","2.0.0","MIT"
"cookie","0.7.2","MIT"
"cookie-parser","1.4.7","MIT"
"cookie-signature","1.0.6","MIT"
"cookie-signature","1.0.7","MIT"
"core-util-is","1.0.3","MIT"
"cors","2.8.6","MIT"
"crc-32","1.2.2","Apache-2.0"
"crc32-stream","7.0.1","MIT"
"create-require","1.1.1","MIT"
"cronstrue","3.13.0","MIT"
"cross-spawn","7.0.6","MIT"
"cssesc","3.0.0","MIT"
"csstype","3.2.3","MIT"
"date-fns","2.30.0","MIT"
"debug","2.6.9","MIT"
"debug","4.4.3","MIT"
"debug","2.6.9","MIT"
"debug","2.6.9","MIT"
"debug","2.6.9","MIT"
"decode-named-character-reference","1.3.0","MIT"
"deepmerge","4.3.1","MIT"
"depd","2.0.0","MIT"
"dequal","2.0.3","MIT"
"destroy","1.2.0","MIT"
"detect-libc","2.1.2","Apache-2.0"
"devlop","1.1.0","MIT"
"didyoumean","1.2.2","Apache-2.0"
"diff","4.0.4","BSD-3-Clause"
"dlv","1.1.3","MIT"
"dom-serializer","2.0.0","MIT"
"domelementtype","2.3.0","BSD-2-Clause"
"domhandler","5.0.3","BSD-2-Clause"
"domutils","3.2.2","BSD-2-Clause"
"dotenv","17.3.1","BSD-2-Clause"
"dunder-proto","1.0.1","MIT"
"ecdsa-sig-formatter","1.0.11","Apache-2.0"
"ee-first","1.1.1","MIT"
"electron-to-chromium","1.5.286","ISC"
"emoji-regex","8.0.0","MIT"
"encodeurl","2.0.0","MIT"
"entities","4.5.0","BSD-2-Clause"
"es-define-property","1.0.1","MIT"
"es-errors","1.3.0","MIT"
"es-object-atoms","1.1.2","MIT"
"escalade","3.2.0","MIT"
"escape-html","1.0.3","MIT"
"escape-string-regexp","5.0.0","MIT"
"esprima","4.0.1","BSD-2-Clause"
"estree-util-is-identifier-name","3.0.0","MIT"
"etag","1.8.1","MIT"
"event-target-shim","5.0.1","MIT"
"events","3.3.0","MIT"
"events-universal","1.0.1","Apache-2.0"
"express","4.22.2","MIT"
"express-rate-limit","8.6.0","MIT"
"extend","3.0.2","MIT"
"extend-shallow","2.0.1","MIT"
"fast-deep-equal","3.1.3","MIT"
"fast-deep-equal","2.0.1","MIT"
"fast-fifo","1.3.2","MIT"
"fast-glob","3.3.3","MIT"
"fast-uri","3.1.5","BSD-3-Clause"
"fastq","1.20.1","ISC"
"fdir","6.5.0","MIT"
"fill-range","7.1.1","MIT"
"finalhandler","1.3.2","MIT"
"find-up","5.0.0","MIT"
"foreground-child","3.3.1","ISC"
"forwarded","0.2.0","MIT"
"fraction.js","5.3.4","MIT"
"fresh","0.5.2","MIT"
"fsevents","2.3.3","MIT"
"function-bind","1.1.2","MIT"
"get-caller-file","2.0.5","ISC"
"get-intrinsic","1.3.0","MIT"
"get-proto","1.0.1","MIT"
"glob","13.0.6","BlueOak-1.0.0"
"glob-parent","5.1.2","ISC"
"glob-parent","5.1.2","ISC"
"glob-parent","6.0.2","ISC"
"gopd","1.2.0","MIT"
"gray-matter","4.0.3","MIT"
"has-flag","4.0.0","MIT"
"has-symbols","1.1.0","MIT"
"hasown","2.0.2","MIT"
"hast-util-to-jsx-runtime","2.3.6","MIT"
"hast-util-whitespace","3.0.0","MIT"
"html-escaper","2.0.2","MIT"
"html-to-text","9.0.5","MIT"
"html-url-attributes","3.0.1","MIT"
"htmlparser2","8.0.2","MIT"
"http-errors","2.0.1","MIT"
"iconv-lite","0.4.24","MIT"
"ieee754","1.2.1","BSD-3-Clause"
"inherits","2.0.4","ISC"
"inline-style-parser","0.2.7","MIT"
"ip-address","10.3.1","MIT"
"ipaddr.js","1.9.2","MIT"
"is-alphabetical","2.0.1","MIT"
"is-alphanumerical","2.0.1","MIT"
"is-binary-path","2.1.0","MIT"
"is-core-module","2.16.1","MIT"
"is-decimal","2.0.1","MIT"
"is-extendable","0.1.1","MIT"
"is-extglob","2.1.1","MIT"
"is-fullwidth-code-point","3.0.0","MIT"
"is-glob","4.0.3","MIT"
"is-hexadecimal","2.0.1","MIT"
"is-number","7.0.0","MIT"
"is-plain-obj","4.1.0","MIT"
"is-stream","4.0.1","MIT"
"isarray","1.0.0","MIT"
"isexe","2.0.0","ISC"
"istanbul-lib-coverage","3.2.2","BSD-3-Clause"
"istanbul-lib-report","3.0.1","BSD-3-Clause"
"istanbul-reports","3.2.0","BSD-3-Clause"
"jiti","1.21.7","MIT"
"js-tokens","4.0.0","MIT"
"js-yaml","3.15.1","MIT"
"json-schema-traverse","1.0.0","MIT"
"jsonwebtoken","9.0.3","MIT"
"jwa","2.0.1","MIT"
"jws","4.0.1","MIT"
"kind-of","6.0.3","MIT"
"lazystream","1.0.1","MIT"
"leac","0.6.0","MIT"
"lightningcss","1.33.0","MPL-2.0"
"lightningcss-android-arm64","1.33.0","MPL-2.0"
"lightningcss-darwin-arm64","1.33.0","MPL-2.0"
"lightningcss-darwin-x64","1.33.0","MPL-2.0"
"lightningcss-freebsd-x64","1.33.0","MPL-2.0"
"lightningcss-linux-arm-gnueabihf","1.33.0","MPL-2.0"
"lightningcss-linux-arm64-gnu","1.33.0","MPL-2.0"
"lightningcss-linux-arm64-musl","1.33.0","MPL-2.0"
"lightningcss-linux-x64-gnu","1.33.0","MPL-2.0"
"lightningcss-linux-x64-musl","1.33.0","MPL-2.0"
"lightningcss-win32-arm64-msvc","1.33.0","MPL-2.0"
"lightningcss-win32-x64-msvc","1.33.0","MPL-2.0"
"lilconfig","3.1.3","MIT"
"lines-and-columns","1.2.4","MIT"
"locate-path","6.0.0","MIT"
"lodash","4.18.1","MIT"
"lodash.includes","4.3.0","MIT"
"lodash.isboolean","3.0.3","MIT"
"lodash.isinteger","4.0.4","MIT"
"lodash.isnumber","3.0.3","MIT"
"lodash.isplainobject","4.0.6","MIT"
"lodash.isstring","4.0.1","MIT"
"lodash.once","4.1.1","MIT"
"longest-streak","3.1.0","MIT"
"loose-envify","1.4.0","MIT"
"lru-cache","11.5.1","BlueOak-1.0.0"
"make-dir","4.0.0","MIT"
"make-error","1.3.6","ISC"
"markdown-table","3.0.4","MIT"
"math-intrinsics","1.1.0","MIT"
"mdast-util-find-and-replace","3.0.2","MIT"
"mdast-util-from-markdown","2.0.2","MIT"
"mdast-util-gfm","3.1.0","MIT"
"mdast-util-gfm-autolink-literal","2.0.1","MIT"
"mdast-util-gfm-footnote","2.1.0","MIT"
"mdast-util-gfm-strikethrough","2.0.0","MIT"
"mdast-util-gfm-table","2.0.0","MIT"
"mdast-util-gfm-task-list-item","2.0.0","MIT"
"mdast-util-mdx-expression","2.0.1","MIT"
"mdast-util-mdx-jsx","3.2.0","MIT"
"mdast-util-mdxjs-esm","2.0.1","MIT"
"mdast-util-phrasing","4.1.0","MIT"
"mdast-util-to-hast","13.2.1","MIT"
"mdast-util-to-markdown","2.1.2","MIT"
"mdast-util-to-string","4.0.0","MIT"
"media-typer","0.3.0","MIT"
"merge-descriptors","1.0.3","MIT"
"merge2","1.4.1","MIT"
"methods","1.1.2","MIT"
"micromark","4.0.2","MIT"
"micromark-core-commonmark","2.0.3","MIT"
"micromark-extension-gfm","3.0.0","MIT"
"micromark-extension-gfm-autolink-literal","2.1.0","MIT"
"micromark-extension-gfm-footnote","2.1.0","MIT"
"micromark-extension-gfm-strikethrough","2.1.0","MIT"
"micromark-extension-gfm-table","2.1.1","MIT"
"micromark-extension-gfm-tagfilter","2.0.0","MIT"
"micromark-extension-gfm-task-list-item","2.1.0","MIT"
"micromark-factory-destination","2.0.1","MIT"
"micromark-factory-label","2.0.1","MIT"
"micromark-factory-space","2.0.1","MIT"
"micromark-factory-title","2.0.1","MIT"
"micromark-factory-whitespace","2.0.1","MIT"
"micromark-util-character","2.1.1","MIT"
"micromark-util-chunked","2.0.1","MIT"
"micromark-util-classify-character","2.0.1","MIT"
"micromark-util-combine-extensions","2.0.1","MIT"
"micromark-util-decode-numeric-character-reference","2.0.2","MIT"
"micromark-util-decode-string","2.0.1","MIT"
"micromark-util-encode","2.0.1","MIT"
"micromark-util-html-tag-name","2.0.1","MIT"
"micromark-util-normalize-identifier","2.0.1","MIT"
"micromark-util-resolve-all","2.0.1","MIT"
"micromark-util-sanitize-uri","2.0.1","MIT"
"micromark-util-subtokenize","2.1.0","MIT"
"micromark-util-symbol","2.0.1","MIT"
"micromark-util-types","2.0.2","MIT"
"micromatch","4.0.8","MIT"
"mime","1.6.0","MIT"
"mime-db","1.52.0","MIT"
"mime-types","2.1.35","MIT"
"minimatch","10.2.5","BlueOak-1.0.0"
"minipass","7.1.3","BlueOak-1.0.0"
"ms","2.0.0","MIT"
"ms","2.0.0","MIT"
"ms","2.0.0","MIT"
"ms","2.1.3","MIT"
"ms","2.0.0","MIT"
"mz","2.7.0","MIT"
"nanoid","3.3.17","MIT"
"negotiator","0.6.3","MIT"
"node-cron","4.2.1","ISC"
"node-releases","2.0.27","MIT"
"normalize-path","3.0.0","MIT"
"object-assign","4.1.1","MIT"
"object-hash","3.0.0","MIT"
"object-inspect","1.13.4","MIT"
"on-finished","2.4.1","MIT"
"openai","6.22.0","Apache-2.0"
"p-limit","3.1.0","MIT"
"p-locate","5.0.0","MIT"
"parse-entities","4.0.2","MIT"
"parseley","0.12.1","MIT"
"parseurl","1.3.3","MIT"
"path-exists","4.0.0","MIT"
"path-key","3.1.1","MIT"
"path-parse","1.0.7","MIT"
"path-scurry","2.0.2","BlueOak-1.0.0"
"path-to-regexp","0.1.13","MIT"
"peberminta","0.9.0","MIT"
"picocolors","1.1.1","ISC"
"picomatch","2.3.2","MIT"
"picomatch","4.0.5","MIT"
"picomatch","4.0.5","MIT"
"pify","2.3.0","MIT"
"pirates","4.0.7","MIT"
"postcss","8.5.23","MIT"
"postcss-import","15.1.0","MIT"
"postcss-js","4.1.0","MIT"
"postcss-load-config","6.0.1","MIT"
"postcss-nested","6.2.0","MIT"
"postcss-selector-parser","6.1.2","MIT"
"postcss-value-parser","4.2.0","MIT"
"prettier","3.8.1","MIT"
"process","0.11.10","MIT"
"process-nextick-args","2.0.1","MIT"
"property-information","7.1.0","MIT"
"proxy-addr","2.0.7","MIT"
"qs","6.15.3","BSD-3-Clause"
"queue-microtask","1.2.3","MIT"
"range-parser","1.2.1","MIT"
"raw-body","2.5.3","MIT"
"react","18.3.1","MIT"
"react-dom","18.3.1","MIT"
"react-markdown","9.1.0","MIT"
"react-promise-suspense","0.3.4","MIT"
"read-cache","1.0.0","MIT"
"readable-stream","2.3.8","MIT"
"readable-stream","4.7.0","MIT"
"readdir-glob","3.0.0","Apache-2.0"
"readdirp","3.6.0","MIT"
"remark-gfm","4.0.1","MIT"
"remark-parse","11.0.0","MIT"
"remark-rehype","11.1.2","MIT"
"remark-stringify","11.0.0","MIT"
"require-directory","2.1.1","MIT"
"require-from-string","2.0.2","MIT"
"resend","4.8.0","MIT"
"resolve","1.22.11","MIT"
"reusify","1.1.0","MIT"
"rolldown","1.1.5","MIT"
"run-parallel","1.2.0","MIT"
"rxjs","7.8.2","Apache-2.0"
"safe-buffer","5.1.2","MIT"
"safe-buffer","5.2.1","MIT"
"safer-buffer","2.1.2","MIT"
"scheduler","0.23.2","MIT"
"section-matter","1.0.0","MIT"
"selderee","0.11.0","MIT"
"semver","7.7.4","ISC"
"semver","7.8.5","ISC"
"send","0.19.2","MIT"
"serve-static","1.16.3","MIT"
"setprototypeof","1.2.0","ISC"
"shebang-command","2.0.0","MIT"
"shebang-regex","3.0.0","MIT"
"shell-quote","1.10.0","MIT"
"side-channel","1.1.1","MIT"
"side-channel-list","1.0.1","MIT"
"side-channel-map","1.0.1","MIT"
"side-channel-weakmap","1.0.2","MIT"
"signal-exit","4.1.0","ISC"
"simple-git","3.36.0","MIT"
"source-map-js","1.2.1","BSD-3-Clause"
"space-separated-tokens","2.0.2","MIT"
"spawn-command","0.0.2","UNKNOWN"
"sprintf-js","1.0.3","BSD-3-Clause"
"statuses","2.0.2","MIT"
"streamx","2.23.0","MIT"
"string_decoder","1.1.1","MIT"
"string_decoder","1.3.0","MIT"
"string-width","4.2.3","MIT"
"stringify-entities","4.0.4","MIT"
"strip-ansi","6.0.1","MIT"
"strip-bom-string","1.0.0","MIT"
"style-to-js","1.1.21","MIT"
"style-to-object","1.0.14","MIT"
"sucrase","3.35.1","MIT"
"supports-color","7.2.0","MIT"
"supports-color","7.2.0","MIT"
"supports-color","8.1.1","MIT"
"supports-preserve-symlinks-flag","1.0.0","MIT"
"tailwindcss","3.4.19","MIT"
"tar-stream","3.1.7","MIT"
"test-exclude","8.0.0","ISC"
"text-decoder","1.2.7","Apache-2.0"
"thenify","3.3.1","MIT"
"thenify-all","1.6.0","MIT"
"tinyglobby","0.2.17","MIT"
"to-regex-range","5.0.1","MIT"
"toidentifier","1.0.1","MIT"
"tree-kill","1.2.2","MIT"
"trim-lines","3.0.1","MIT"
"trough","2.2.0","MIT"
"ts-interface-checker","0.1.13","Apache-2.0"
"ts-node","10.9.2","MIT"
"tslib","2.8.1","0BSD"
"type-is","1.6.18","MIT"
"typescript","5.9.3","Apache-2.0"
"undici-types","6.21.0","MIT"
"unified","11.0.5","MIT"
"unist-util-is","6.0.1","MIT"
"unist-util-position","5.0.0","MIT"
"unist-util-stringify-position","4.0.0","MIT"
"unist-util-visit","5.1.0","MIT"
"unist-util-visit-parents","6.0.2","MIT"
"unpipe","1.0.0","MIT"
"update-browserslist-db","1.2.3","MIT"
"util-deprecate","1.0.2","MIT"
"utils-merge","1.0.1","MIT"
"v8-compile-cache-lib","3.0.1","MIT"
"v8-to-istanbul","9.3.0","ISC"
"vary","1.1.2","MIT"
"vfile","6.0.3","MIT"
"vfile-message","4.0.3","MIT"
"vite","8.1.5","MIT"
"which","2.0.2","ISC"
"wrap-ansi","7.0.0","MIT"
"ws","8.21.1","MIT"
"y18n","5.0.8","ISC"
"yargs","17.7.2","MIT"
"yargs-parser","21.1.1","ISC"
"yn","3.1.1","MIT"
"yocto-queue","0.1.0","MIT"
"zip-stream","7.0.5","MIT"
"zwitch","2.0.4","MIT"
